Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Maggie Mae's,78701,10/03/2018,92,"323 E 6TH ST AUSTIN, TX 78701 (30.267166, -97.739608)",2800652,Routine Inspection
El Michoacano Mexican Rest.,78617,01/07/2020,85,"2701 E SH AUSTIN, TX 78617",2800796,Routine Inspection
Family Dollar #28201,78722,07/17/2018,94,"3851 AIRPORT BLVD AUSTIN, TX 78722 (30.289563, -97.707176)",10393618,Routine Inspection
Randall's #2480-Retail,78749,12/22/2020,93,"6600 S MOPAC EXPY AUSTIN, TX 78749 (30.220579, -97.837688)",2803484,Routine Inspection
Tech Ridge Oaks,78753,11/09/2020,100,"400 E YAGER LN AUSTIN, TX 78753 (30.396184, -97.667135)",12044025,Routine Inspection
Lucky Lab Coffee,78701,08/23/2018,97,"515 CONGRESS AVE AUSTIN, TX 78701 (30.267349, -97.743063)",11828720,Routine Inspection
OOB - Morelia Mexican Grill,78717,01/28/2020,57,"9900 W PARMER LN AUSTIN, TX 78717 (30.486294, -97.770552)",10549853,Routine Inspection
Austin Aquarium,78750,09/30/2019,97,"13530 N US 183 HWY AUSTIN, TX 78750",11790775,Routine Inspection
China Dragon,78660,12/06/2019,75,"2700 W PECAN ST AUSTIN, TX 78660 (30.449334, -97.657083)",12139450,Routine Inspection
LW - Starbucks Kiosk/Randall's,78734,09/30/2019,96,"2301 S FM 620 RD LAKEWAY, TX 78734",10999732,Routine Inspection
Don Mario Mexican Restaurant,78734,09/26/2019,98,"1700 N FM 620 RD AUSTIN, TX 78734 (30.381097, -97.944261)",11563423,Routine Inspection
7 - Eleven Convenience Store #25157B,78703,12/30/2019,91,"2620 LAKE AUSTIN BLVD AUSTIN, TX 78703 (30.282201, -97.776098)",11789420,Routine Inspection
Corporate Caterers,78758,10/21/2019,95,"9003 WATERFORD CENTRE BLVD AUSTIN, TX 78758 (30.375447, -97.729831)",11250679,Routine Inspection
"Little Darlin', The",78745,03/24/2020,85,"6507 CIRCLE S RD AUSTIN, TX 78745 (30.194148, -97.77723)",11508340,Routine Inspection
Pearl Street Co-Op,78705,05/07/2018,85,"2000 PEARL ST AUSTIN, TX 78705 (30.284167, -97.746629)",2800409,Routine Inspection
Tinos Greek Cafe,78723,02/26/2020,89,"1201 BARBARA JORDAN BLVD AUSTIN, TX 78723 (30.306845, -97.709573)",10641759,Follow-Up Inspection
Fuel Bar,78759,09/02/2020,100,"4210 W BRAKER LN AUSTIN, TX 78759 (30.399415, -97.740061)",12021450,Routine Inspection
MN - Apple Express,78653,01/29/2018,86,"12401 TILLGANG PASS MANOR, TX 78653",11650292,Routine Inspection
Accent Food Services,78746,10/31/2018,96,"1301 S MOPAC EXPY AUSTIN, TX 78746",11566530,Routine Inspection
HEB Food Store #161,78723,10/02/2019,89,"7112 ED BLUESTEIN BLVD AUSTIN, TX 78723 (30.312815, -97.662829)",2800078,Routine Inspection
Heritage Park Rehabilitation and Skilled Nursing Center,78722,05/20/2020,87,"2806 REAL ST AUSTIN, TX 78722 (30.28244, -97.711754)",12061669,Routine Inspection
Mobile Loaves and Fishes - Community First Village,78724,05/14/2020,96,"9301 HOG EYE RD AUSTIN, TX 78724 (30.282551, -97.623176)",11845561,Routine Inspection
Residence Inn By Marriott,78759,03/07/2019,75,"3713 TUDOR BLVD AUSTIN, TX 78759 (30.385367, -97.739338)",2800757,Routine Inspection
Branch Bar-B-Que,78728,05/15/2019,99,"1779 W WELLS BRANCH PKWY AUSTIN, TX 78728",2800990,Routine Inspection
Dev's Shell,78756,10/03/2019,79,"4001 MEDICAL PKWY AUSTIN, TX 78756 (30.308626, -97.742671)",2804118,Routine Inspection
Twin Panda,78717,09/17/2018,84,"9231 W PARMER LN AUSTIN, TX 78717 (30.478889, -97.765998)",11631913,Routine Inspection
Abiding Love Lutheran Child,78749,10/08/2019,99,"4612 CONVICT HILL RD AUSTIN, TX 78749 (30.217423, -97.847021)",2800947,Routine Inspection
Phoenix Academy,78704,08/22/2019,100,"400 W LIVE OAK ST AUSTIN, TX 78704 (30.243561, -97.756071)",2801515,Routine Inspection
Alamo Drafthouse Cinema,78613,08/31/2020,100,"14028 N US 183 HWY AUSTIN, TX 78613 (30.476816, -97.801366)",10978489,Routine Inspection
WL - Blue Dahlia Bistro,78746,02/21/2018,97,"3663 BEE CAVES RD WEST LAKE HILLS, TX 78746 (30.27897, -97.806439)",10733978,Routine Inspection
Word of Mouth Catering,78703,07/16/2018,82,"919 W 12TH ST AUSTIN, TX 78703 (30.276781, -97.751103)",10156287,Routine Inspection
Mandola's Italian Market,78751,01/02/2019,85,"4700 W GUADALUPE ST AUSTIN, TX 78751 (30.315985, -97.732356)",2802671,Routine Inspection
Triny's Kitchen,78722,02/06/2020,100,"2039 AIRPORT BLVD AUSTIN, TX 78722 (30.284477, -97.705227)",10604475,Routine Inspection
Donut 4U,78726,07/23/2020,85,"10601 N FM 620 RD AUSTIN, TX 78726 (30.44466, -97.83255)",12114725,Routine Inspection
Bufalina Due LLC,78757,03/05/2020,95,"6555 BURNET RD AUSTIN, TX 78757 (30.341502, -97.738754)",11460194,Routine Inspection
Donn's BBQ,78725,03/04/2020,92,"10003 FM 969 RD AUSTIN, TX 78725",10213950,Routine Inspection
Randall's (Shady Hollow),78748,02/27/2019,91,"9911 BRODIE LN AUSTIN, TX 78748 (30.184608, -97.849046)",2803846,Routine Inspection
La Quinta Inn #0530,78751,03/29/2018,98,"5812 N IH AUSTIN, TX 78751",2803279,Routine Inspection
"Your Dream Wedding & Events, Inc.",78758,01/22/2018,98,"8309 RESEARCH BLVD AUSTIN, TX 78758 (30.356222, -97.715222)",11538432,Routine Inspection
AA Foodmart #2,78723,11/30/2020,83,"6649 MANOR RD AUSTIN, TX 78723 (30.309726, -97.667614)",12186104,Routine Inspection
ABIA - Second Bar & Kitchen,78719,01/23/2019,90,"3600 PRESIDENTIAL BLVD AUSTIN, TX 78719 (30.202653, -97.667267)",11763654,Routine Inspection
Bella Donna Subs,78744,04/01/2020,88,"4612 BURLESON RD AUSTIN, TX 78744 (30.213281, -97.732809)",11967087,Routine Inspection
Bush's Chicken,78748,07/29/2019,93,"9815 BRODIE LN AUSTIN, TX 78748 (30.185926, -97.848213)",10642547,Routine Inspection
Foodie's Corner 3,78735,04/10/2020,96,"8225 W SH AUSTIN, TX 78735",11748577,Routine Inspection
Carmela's Pizzeria Cafe & Deli,78620,07/19/2019,93,"18901 HAMILTON POOL RD DRIPPING SPRINGS, TX 78620 (30.287141, -98.06609)",10530785,Routine Inspection
Seton Healthcare- Dell Children's Center,78723,04/01/2019,92,"4900 MUELLER BLVD AUSTIN, TX 78723 (30.302549, -97.704957)",10029465,Routine Inspection
Barton Creek Elementary,78733,09/17/2018,99,"1370 PATTERSON RD AUSTIN, TX 78733 (30.303864, -97.878052)",2800711,Routine Inspection
